id,method,chunk,variable,value
Mice,DREEM,0,count,0.0
Flies,DREEM,0,count,0.0
Flies,DREEM,0,count,0.0
Mice,DREEM,0,count,0.0
Mice,DREEM,1,count,0.0
Mice,DREEM,0,count,0.0
Mice,DREEM,1,count,0.0
Mice,DREEM,0,count,0.0
Mice,DREEM,0,count,10.0
Flies,DREEM,0,count,0.0
Zebrafish,DREEM,0,count,7.0
Zebrafish,DREEM,0,count,10.0
Zebrafish,DREEM,0,count,12.0
Zebrafish,DREEM,0,count,33.0
Zebrafish,DREEM,0,count,14.0
Mice,DREEM,0,count,42.0
Flies,DREEM,0,count,0.0
Zebrafish,DREEM,0,count,26.0
Flies,DREEM,0,count,0.0
Flies,DREEM,0,count,0.0
Mice,DREEM,1,count,0.0
Mice,DREEM,2,count,0.0
Mice,DREEM,3,count,0.0
Mice,DREEM,4,count,0.0
Mice,DREEM,1,count,0.0
Mice,DREEM,2,count,0.0
Mice,DREEM,0,count,0.0
Mice,DREEM,4,count,0.0
Mice,DREEM,0,count,0.0
Mice,DREEM,1,count,0.0
Mice,DREEM,2,count,18.0
Mice,DREEM,3,count,0.0
Mice,DREEM,4,count,0.0
Mice,DREEM,3,count,0.0
Mice,SLEAP,1,count,0.0
Mice,SLEAP,0,count,10.0
Mice,SLEAP,1,count,8.0
Mice,SLEAP,2,count,16.0
Mice,SLEAP,0,count,6.0
Mice,SLEAP,0,count,4.0
Zebrafish,SLEAP,0,count,183.0
Mice,SLEAP,0,count,4.0
Mice,SLEAP,0,count,46.0
Zebrafish,SLEAP,0,count,4.0
Zebrafish,SLEAP,0,count,46.0
Zebrafish,SLEAP,0,count,87.0
Mice,SLEAP,3,count,4.0
Mice,SLEAP,1,count,0.0
Mice,SLEAP,4,count,0.0
Mice,SLEAP,3,count,0.0
Flies,SLEAP,0,count,4.0
Zebrafish,SLEAP,0,count,45.0
Flies,SLEAP,0,count,0.0
Mice,SLEAP,0,count,0.0
Mice,SLEAP,0,count,0.0
Mice,SLEAP,1,count,0.0
Mice,SLEAP,2,count,0.0
Flies,SLEAP,0,count,0.0
Mice,SLEAP,3,count,6.0
Mice,SLEAP,4,count,0.0
Mice,SLEAP,1,count,0.0
Mice,SLEAP,0,count,0.0
Mice,SLEAP,2,count,0.0
Flies,SLEAP,0,count,0.0
Flies,SLEAP,0,count,0.0
Mice,SLEAP,4,count,6.0
Zebrafish,SLEAP,0,count,98.0
